Sample	Length	Site	End	Offset	Count
SRR1944912	31	TTS	5p-end	-10	40
SRR1944912	32	TTS	5p-end	-10	18
SRR1944912	33	TTS	5p-end	-10	0
SRR1944912	25	TTS	5p-end	-9	0
SRR1944912	26	TTS	5p-end	-9	8
SRR1944912	27	TTS	5p-end	-9	40
SRR1944912	28	TTS	5p-end	-9	79
SRR1944912	29	TTS	5p-end	-9	81
SRR1944912	30	TTS	5p-end	-9	97
SRR1944912	31	TTS	5p-end	-9	107
SRR1944912	32	TTS	5p-end	-9	22
SRR1944912	33	TTS	5p-end	-9	3
SRR1944912	25	TTS	5p-end	-8	6
SRR1944912	26	TTS	5p-end	-8	16
SRR1944912	27	TTS	5p-end	-8	8
SRR1944912	28	TTS	5p-end	-8	15
SRR1944912	29	TTS	5p-end	-8	58
SRR1944912	30	TTS	5p-end	-8	131
SRR1944912	31	TTS	5p-end	-8	125
SRR1944912	32	TTS	5p-end	-8	43
SRR1944912	33	TTS	5p-end	-8	2
SRR1944912	25	TTS	5p-end	-7	7
SRR1944912	26	TTS	5p-end	-7	6
SRR1944912	27	TTS	5p-end	-7	7
SRR1944912	28	TTS	5p-end	-7	13
SRR1944912	29	TTS	5p-end	-7	64
SRR1944912	30	TTS	5p-end	-7	97
SRR1944912	31	TTS	5p-end	-7	94
SRR1944912	32	TTS	5p-end	-7	18
SRR1944912	33	TTS	5p-end	-7	0
SRR1944912	25	TTS	5p-end	-6	9
SRR1944912	26	TTS	5p-end	-6	1
SRR1944912	27	TTS	5p-end	-6	1
SRR1944912	28	TTS	5p-end	-6	6
SRR1944912	29	TTS	5p-end	-6	45
SRR1944912	30	TTS	5p-end	-6	96
SRR1944912	31	TTS	5p-end	-6	84
SRR1944912	32	TTS	5p-end	-6	17
SRR1944912	33	TTS	5p-end	-6	2
SRR1944912	25	TTS	5p-end	-5	0
SRR1944912	26	TTS	5p-end	-5	0
SRR1944912	27	TTS	5p-end	-5	1
SRR1944912	28	TTS	5p-end	-5	2
SRR1944912	29	TTS	5p-end	-5	63
SRR1944912	30	TTS	5p-end	-5	122
SRR1944912	31	TTS	5p-end	-5	84
SRR1944912	32	TTS	5p-end	-5	29
SRR1944912	33	TTS	5p-end	-5	2
SRR1944912	25	TTS	5p-end	-4	0
SRR1944912	26	TTS	5p-end	-4	1
SRR1944912	27	TTS	5p-end	-4	1
SRR1944912	28	TTS	5p-end	-4	4
SRR1944912	29	TTS	5p-end	-4	55
SRR1944912	30	TTS	5p-end	-4	83
SRR1944912	31	TTS	5p-end	-4	95
SRR1944912	32	TTS	5p-end	-4	22
SRR1944912	33	TTS	5p-end	-4	0
SRR1944912	25	TTS	5p-end	-3	0
SRR1944912	26	TTS	5p-end	-3	0
SRR1944912	27	TTS	5p-end	-3	2
SRR1944912	28	TTS	5p-end	-3	13
SRR1944912	29	TTS	5p-end	-3	60
SRR1944912	30	TTS	5p-end	-3	124
SRR1944912	31	TTS	5p-end	-3	102
SRR1944912	32	TTS	5p-end	-3	37
SRR1944912	33	TTS	5p-end	-3	2
SRR1944912	25	TTS	5p-end	-2	0
SRR1944912	26	TTS	5p-end	-2	0
SRR1944912	27	TTS	5p-end	-2	3
SRR1944912	28	TTS	5p-end	-2	8
SRR1944912	29	TTS	5p-end	-2	89
SRR1944912	30	TTS	5p-end	-2	140
SRR1944912	31	TTS	5p-end	-2	126
SRR1944912	32	TTS	5p-end	-2	30
SRR1944912	33	TTS	5p-end	-2	0
SRR1944912	25	TTS	5p-end	-1	0
SRR1944912	26	TTS	5p-end	-1	1
SRR1944912	27	TTS	5p-end	-1	0
