transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001178834.3	13.3	14.77	14.36	13.56	10.97	7.43
NM_001178835.1	27.85	25.65	22.81	24.96	25.49	23.76
NM_001184349.1	98.52	82.46	94.55	71.62	112.17	120.13
NM_001178836.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178837.1	29.89	24.96	35.68	34.49	35.41	32.43
NM_001178838.1	12.32	11.25	10.46	12.42	14.79	14.08
NM_001178839.3	53.75	63.05	46.64	60.69	71.45	66.77
NM_001178840.1	27.81	29.1	27.33	33.06	30.47	21.27
NM_001178841.1	769.7	745.25	918.93	792.59	652.65	876.42
NM_001178842.3	1490.15	1575.88	1462.15	1557.14	1405.85	1561.03
NM_001348820.1	19.56	11.25	19.44	18.03	20.76	17.84
NM_001178844.1	52.03	50.14	52.98	62.96	64.28	64.16
NM_001178845.1	10.19	9.9	8.64	9.38	12.29	9.82
NM_001178846.3	138.81	161.52	162.2	211.64	173.6	152.38
NM_001178847.1	40.19	40.12	40.29	53.59	47.66	38.3
NM_001178848.1	764.75	746.59	612.13	600.21	663.7	619.05
NM_001178849.3	2262.27	2384.0	2151.78	2120.91	1929.58	1987.53
NM_001178850.1	0.77	0.99	1.27	0.94	0.98	1.13
NM_001178851.1	95.93	104.34	78.33	114.78	112.68	91.57
NM_001178852.3	168.81	176.08	140.3	182.53	191.36	179.31
