gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YOL057W	40.63	43.53	43.24	40.38	40.61	43.14
YOL058W	27.4	21.58	27.48	33.17	34.27	41.66
YOL059W	130.46	125.89	123.93	114.8	118.31	112.64
YOL060C	17.02	19.06	18.48	17.94	18.85	20.2
YOL061W	112.81	119.11	114.91	134.52	134.9	143.19
YOL062C	15.46	13.87	17.81	18.09	17.31	19.17
YOL063C	4.14	3.94	4.09	4.86	4.38	4.29
YOL064C	78.73	72.11	73.81	78.83	80.83	74.29
YOL065C	13.05	14.14	15.6	17.48	16.06	17.73
YOL066C	11.91	13.88	13.36	13.45	13.16	14.12
YOL067C	24.45	30.33	29.53	27.91	29.04	43.23
YOL068C	9.79	11.14	9.32	11.71	11.36	10.78
YOL069W	8.31	8.97	9.05	8.8	8.57	9.05
YOL070C	45.45	47.71	43.08	60.3	55.94	58.05
YOL071W	26.21	29.08	32.09	33.22	31.12	30.47
YOL072W	8.15	7.64	8.22	7.5	6.81	8.76
YOL073C	14.43	15.22	15.34	15.97	15.89	17.97
YOL075C	2.72	3.77	3.96	3.86	3.78	3.83
YOL076W	28.0	32.17	33.78	38.51	39.96	38.72
YOL077C	191.29	194.13	206.61	206.2	221.32	202.69
YOL077W-A	150.58	181.09	179.17	198.59	208.25	187.32
YOL078W	4.76	5.81	4.17	7.13	5.96	6.5
YOL080C	30.45	31.16	37.02	30.98	33.96	33.44
YOL081W	4.89	4.91	5.47	4.26	4.15	4.69
YOL082W	11.95	12.02	12.29	10.32	10.53	10.14
YOL083W	2.82	3.17	2.64	2.65	2.8	2.81
YOL084W	0.1	0.1	0.13	0.07	0.17	0.07
YOL085C	0.33	0.0	0.0	0.13	0.15	0.0
YOL086C	11628.51	11002.2	11981.17	10951.5	10897.34	12595.51
YOL086W-A	27.39	28.01	28.42	23.13	21.16	22.56
