Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_un_07d_1	34	51814	163	0.2297	0.3642
R_GR_un_07d_1	35	4421	10	0.0196	0.0223
R_GR_un_07d_1	36	635	3	0.0028	0.0067
R_GR_un_07d_1	37	113	0	0.0005	0.0
R_GR_un_07d_1	38	29	5	0.0001	0.0112
R_GR_un_07d_1	39	25	0	0.0001	0.0
R_GR_un_07d_1	40	5	0	0.0	0.0
R_GR_un_07d_2	24	816916	2237	3.805	4.2983
R_GR_un_07d_2	25	922368	2742	4.2961	5.2686
R_GR_un_07d_2	26	1213503	3630	5.6522	6.9749
R_GR_un_07d_2	27	1863923	8765	8.6817	16.8415
R_GR_un_07d_2	28	2796879	6497	13.0271	12.4837
R_GR_un_07d_2	29	4281453	8615	19.9419	16.5533
R_GR_un_07d_2	30	5174744	9759	24.1026	18.7514
R_GR_un_07d_2	31	3226017	7104	15.0259	13.65
R_GR_un_07d_2	32	988755	2251	4.6054	4.3252
R_GR_un_07d_2	33	159628	323	0.7435	0.6206
R_GR_un_07d_2	34	22734	105	0.1059	0.2018
R_GR_un_07d_2	35	2296	10	0.0107	0.0192
R_GR_un_07d_2	36	297	1	0.0014	0.0019
R_GR_un_07d_2	37	99	0	0.0005	0.0
R_GR_un_07d_2	38	32	2	0.0001	0.0038
R_GR_un_07d_2	39	6	0	0.0	0.0
R_GR_un_07d_2	40	5	3	0.0	0.0058
R_GR_un_07d_3	24	670335	1872	3.1666	3.8912
R_GR_un_07d_3	25	821053	2449	3.8786	5.0906
R_GR_un_07d_3	26	1190958	3139	5.626	6.5249
R_GR_un_07d_3	27	1936208	7148	9.1465	14.8582
R_GR_un_07d_3	28	3083884	6669	14.5681	13.8626
R_GR_un_07d_3	29	4693839	8822	22.1734	18.3379
R_GR_un_07d_3	30	5155516	9794	24.3543	20.3584
R_GR_un_07d_3	31	2801107	6116	13.2322	12.7131
R_GR_un_07d_3	32	692952	1756	3.2735	3.6501
R_GR_un_07d_3	33	107004	264	0.5055	0.5488
R_GR_un_07d_3	34	14327	68	0.0677	0.1413
R_GR_un_07d_3	35	1410	3	0.0067	0.0062
R_GR_un_07d_3	36	162	1	0.0008	0.0021
R_GR_un_07d_3	37	45	4	0.0002	0.0083
R_GR_un_07d_3	38	13	0	0.0001	0.0
R_GR_un_07d_3	39	3	0	0.0	0.0
R_GR_un_07d_3	40	0	2	0.0	0.0042
R_GR_un_07d_3	42	0	1	0.0	0.0021
R_GR_in_10d_1	24	220979	160	0.726	0.23
R_GR_in_10d_1	25	376654	1029	1.2374	1.4789
R_GR_in_10d_1	26	514232	1798	1.6894	2.5842
R_GR_in_10d_1	27	917426	3279	3.0141	4.7128
R_GR_in_10d_1	28	1670834	4948	5.4893	7.1115
R_GR_in_10d_1	29	2849191	8591	9.3606	12.3475
R_GR_in_10d_1	30	4923963	10627	16.1769	15.2737
R_GR_in_10d_1	31	7333753	14437	24.0939	20.7497
R_GR_in_10d_1	32	7079147	15460	23.2574	22.22
R_GR_in_10d_1	33	3518571	7686	11.5597	11.0468
R_GR_in_10d_1	34	802840	1025	2.6376	1.4732
R_GR_in_10d_1	35	182303	345	0.5989	0.4959
R_GR_in_10d_1	36	42934	192	0.1411	0.276
R_GR_in_10d_1	37	4979	0	0.0164	0.0
R_GR_in_10d_1	38	311	0	0.001	0.0
R_GR_in_10d_1	40	4	0	0.0	0.0
R_GR_in_10d_1	42	80	0	0.0003	0.0
R_GR_in_10d_2	24	55886	296	0.3187	0.6834
R_GR_in_10d_2	25	85078	282	0.4851	0.651
R_GR_in_10d_2	26	164730	964	0.9393	2.2256
R_GR_in_10d_2	27	349874	1260	1.995	2.9089
R_GR_in_10d_2	28	783352	2015	4.4668	4.652
R_GR_in_10d_2	29	1432798	5398	8.17	12.4622
R_GR_in_10d_2	30	2541815	6660	14.4938	15.3757
R_GR_in_10d_2	31	4003606	10040	22.8292	23.179
R_GR_in_10d_2	32	4432164	10463	25.2729	24.1556
R_GR_in_10d_2	33	2610578	4583	14.8859	10.5806
R_GR_in_10d_2	34	756031	1041	4.311	2.4033
